No,公開日,分類,やりたいこと,アプリ・機能,方法,難しさ,目安時間,フォルダ
148,2026-09-04,Visual Security Lab,NTFSアクセス権を読み取り専用で一覧表示する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/148-ntfs-acl
149,2026-09-04,Visual Security Lab,フォルダーの権限継承を親子で見比べる,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/149-acl-inheritance
150,2026-09-04,Visual Security Lab,Windows FirewallのProfile状態とRule件数を確認する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/150-firewall-profile
151,2026-09-04,Visual Security Lab,Microsoft Defenderの基本状態を読み取り専用で確認する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,はじめて,15分,samples/151-defender-status
152,2026-09-04,Visual Security Lab,ダウンロードファイルのMark of the Webを自分のファイルで見る,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/152-mark-of-the-web
153,2026-09-04,Visual Security Lab,Alternate Data Streamに小さなテスト文字列を保存して仕組みを知る,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/153-alternate-data-stream
154,2026-09-04,Visual Security Lab,PowerShellでAuthenticode署名の有無を確認する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/154-authenticode
155,2026-09-04,Visual Security Lab,DPAPIで自分のテスト文字列を暗号化・復号する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/155-dpapi
156,2026-09-04,Visual Security Lab,パスワード長で組み合わせ数がどう増えるか可視化する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/156-password-combinations
157,2026-09-04,Visual Security Lab,固定時間比較と普通の文字列比較の考え方を小さく試す,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/157-fixed-time-compare
158,2026-09-04,Visual Security Lab,CSVの先頭記号が表計算で式扱いされる例を安全な文字列で確認する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/158-csv-formula-text
159,2026-09-04,Visual Security Lab,入力値をそのまま使う場合と検証する場合の差をローカル実験する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/159-input-validation
160,2026-09-04,Visual Security Lab,ログに秘密情報を書かないRedactionを実装して比べる,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/160-log-redaction
161,2026-09-04,Visual Security Lab,環境変数へ秘密情報を置くとプロセスからどう見えるかを自分のテスト値で確認する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/161-environment-secret
162,2026-09-04,Architecture & Algorithm Lab,PowerShellでミニBlockchainを作る,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/162-blockchain-powershell
163,2026-09-04,Architecture & Algorithm Lab,Excel VBAでセルが変わると壊れるBlockchainを可視化する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/163-blockchain-vba
164,2026-09-04,Architecture & Algorithm Lab,Merkle Treeを4つのファイルHashから作る,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/164-file-integrity-hash
165,2026-09-04,Architecture & Algorithm Lab,Bloom Filterで「たぶんある／絶対ない」を体験する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/165-bloom-filter
166,2026-09-04,Architecture & Algorithm Lab,LRU Cacheで最近使っていないデータが追い出される様子を見る,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/166-lru-cache
167,2026-09-04,Architecture & Algorithm Lab,Token BucketでAPI Rate Limitを再現する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/167-token-bucket
168,2026-09-04,Architecture & Algorithm Lab,RetryとExponential Backoffを失敗するローカル処理で試す,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/168-retry-backoff
169,2026-09-04,Architecture & Algorithm Lab,Circuit BreakerのCLOSED・OPEN・HALF-OPENを色で見る,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/169-circuit-breaker
170,2026-09-04,Architecture & Algorithm Lab,フォルダーをMessage QueueにしてProducer／Consumerを作る,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/170-folder-queue
171,2026-09-04,Architecture & Algorithm Lab,VBAのEventでPub/Subを再現する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/171-pubsub-vba
172,2026-09-04,Architecture & Algorithm Lab,ExcelでEvent Sourcingを実装して現在状態を再構築する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/172-event-sourcing
173,2026-09-04,Architecture & Algorithm Lab,VBAでCQRS風にWrite ModelとRead Modelを分ける,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/173-cqrs-vba
174,2026-09-04,Architecture & Algorithm Lab,申請フローをState Machineとして実装する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/174-state-machine
175,2026-09-04,Architecture & Algorithm Lab,PowerShell RunspaceでActor Model風のMailboxを作る,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/175-actor-model
176,2026-09-04,Architecture & Algorithm Lab,DAGで依存関係のあるJobを順番・並列に実行する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/176-dag-jobs
177,2026-09-04,Architecture & Algorithm Lab,Producer-Consumer PatternをQueueで体験する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/177-producer-consumer
178,2026-09-04,Architecture & Algorithm Lab,Observer PatternをVBAのWithEventsで実装する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/178-observer-pattern
179,2026-09-04,Architecture & Algorithm Lab,Strategy Patternで処理方法を差し替える,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/179-strategy-pattern
180,2026-09-04,Architecture & Algorithm Lab,Factory Patternで作るオブジェクトを切り替える,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/180-factory-pattern
181,2026-09-04,Architecture & Algorithm Lab,Repository PatternでExcelセルへの直接アクセスを隠す,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/181-repository-pattern
182,2026-09-04,Architecture & Algorithm Lab,Dependency Injectionで本番処理とMockを差し替える,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/182-dependency-injection
183,2026-09-04,Architecture & Algorithm Lab,Command Patternで操作をオブジェクトとして記録する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/183-command-pattern
184,2026-09-04,Architecture & Algorithm Lab,Adapter Patternで異なるAPIの呼び方を同じ形にそろえる,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/184-adapter-pattern
185,2026-09-04,Architecture & Algorithm Lab,Decorator Patternでログ機能を後付けする,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/185-decorator-pattern
186,2026-09-04,Architecture & Algorithm Lab,Cache-Aside Patternを小さな辞書とファイルで再現する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/186-cache-aside
187,2026-09-04,Architecture & Algorithm Lab,同じ要求を2回送っても結果が増えないIdempotencyを体験する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/187-idempotency
188,2026-09-04,Architecture & Algorithm Lab,Saga Patternを3段階の処理と補償処理で模型化する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/188-saga-pattern
189,2026-09-04,Architecture & Algorithm Lab,Outbox PatternをCSV／JSONファイルで再現する,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/189-outbox-pattern
190,2026-09-04,Architecture & Algorithm Lab,Consistent Hashingでデータの割り当て先がどう変わるか見る,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/190-consistent-hashing
191,2026-09-04,Architecture & Algorithm Lab,Fixed WindowとSliding WindowのRate Limitを比べる,PowerShell / VBA,コピペ / 試して理解 / トレース,深掘り,15分,samples/191-rate-limit-windows
192,2026-09-04,VBA Deep Dive,VBAで本当の非同期HTTPを実装する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/192-vba-async-http
193,2026-09-04,VBA Deep Dive,DoEventsは非同期処理ではないことをログで確認する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/193-vba-doevents-not-async
194,2026-09-04,VBA Deep Dive,WithEventsでHTTP完了イベントを受け取る,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/194-vba-http-event
195,2026-09-04,VBA Deep Dive,Implementsを使ってVBAでInterfaceを作る,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/195-vba-interface
196,2026-09-04,VBA Deep Dive,VBAでDependency Injectionを実装する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/196-dependency-injection
197,2026-09-04,VBA Deep Dive,VBAでStrategy Patternを実装する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/197-strategy-pattern
198,2026-09-04,VBA Deep Dive,VBAでFactory Patternを実装する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/198-factory-pattern
199,2026-09-04,VBA Deep Dive,VBAでObserver Patternを実装する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/199-observer-pattern
200,2026-09-04,VBA Deep Dive,VBAでRepository Patternを実装する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/200-repository-pattern
201,2026-09-04,VBA Deep Dive,VBAでState Machineを実装する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/201-state-machine
202,2026-09-04,VBA Deep Dive,VBAでPromise風AsyncTaskクラスを作る,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/202-vba-promise
203,2026-09-04,VBA Deep Dive,VBAでキャンセル可能な長時間処理を作る,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/203-vba-cancellation
204,2026-09-04,VBA Deep Dive,VBAの非同期処理へTimeoutを追加する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/204-vba-timeout
205,2026-09-04,VBA Deep Dive,VBAでRetry処理を共通化する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/205-vba-retry
206,2026-09-04,VBA Deep Dive,VBAでExponential Backoffを実装する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/206-vba-backoff
207,2026-09-04,VBA Deep Dive,VBAで簡易Event Queueを作る,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/207-vba-event-queue
208,2026-09-04,VBA Deep Dive,CollectionとClassでDomain Object一覧を扱う,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/208-vba-domain-object
209,2026-09-04,VBA Deep Dive,Property Get／Let／Setでカプセル化を体験する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/209-vba-properties
210,2026-09-04,VBA Deep Dive,On Errorだけに頼らないエラー伝播の設計を試す,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/210-vba-error-flow
211,2026-09-04,VBA Deep Dive,VBAで共通Loggerクラスを作る,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/211-vba-logger
212,2026-09-04,VBA Deep Dive,VBAだけで小さなJSON Serializerを作って構造を理解する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/212-vba-json-serializer
213,2026-09-04,VBA Deep Dive,Application.OnTimeで擬似的な非同期スケジュールを作る,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/213-vba-ontime
214,2026-09-04,VBA Deep Dive,AddressOfとCallbackの制約をWin32 APIで体験する,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/214-vba-callback
215,2026-09-04,VBA Deep Dive,Early BindingとLate Bindingの違いを同じCOM操作で比べる,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/215-vba-binding
216,2026-09-04,VBA Deep Dive,32bit／64bit VBAとPtrSafe・LongPtrの違いを学ぶ,VBA / COM / Win32,コピペ / 試して理解 / トレース,深掘り,15分,samples/216-vba-64bit-ptrsafe
217,2026-09-04,PowerShell / WinRT / .NET Lab,PowerShell + WinRTでWindowsに文章を読み上げさせる,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/217-winrt-speech-synthesis
218,2026-09-04,PowerShell / WinRT / .NET Lab,PowerShell + WinRTでWindows標準の音声認識を試す,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/218-winrt-speech-recognition
219,2026-09-04,PowerShell / WinRT / .NET Lab,PowerShell + WinRTで画像OCRを試す,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/219-winrt-ocr
220,2026-09-04,PowerShell / WinRT / .NET Lab,WinRTのIAsyncOperationをPowerShellから待つ,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/220-winrt-async
221,2026-09-04,PowerShell / WinRT / .NET Lab,PowerShellからWindows通知を表示する,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/221-windows-notification
222,2026-09-04,PowerShell / WinRT / .NET Lab,WinRT DeviceInformationでデバイスを列挙する,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/222-winrt-device-info
223,2026-09-04,PowerShell / WinRT / .NET Lab,PowerShellからWinRT Bluetooth APIを触る,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/223-winrt-bluetooth
224,2026-09-04,PowerShell / WinRT / .NET Lab,PowerShellからClipboard APIを操作する,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/224-winrt-clipboard
225,2026-09-04,PowerShell / WinRT / .NET Lab,PowerShellだけでWPFの小さなGUIを作る,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/225-powershell-wpf
226,2026-09-04,PowerShell / WinRT / .NET Lab,PowerShellだけでWindows Formsの小さなGUIを作る,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/226-powershell-winforms
227,2026-09-04,PowerShell / WinRT / .NET Lab,RunspaceでUIを固めずバックグラウンド処理する,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/227-powershell-runspace-ui
228,2026-09-04,PowerShell / WinRT / .NET Lab,.NET TaskをPowerShellから作って待つ,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/228-dotnet-task
229,2026-09-04,PowerShell / WinRT / .NET Lab,ForEach-Object -Parallelで並列処理を体験する,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/229-foreach-parallel
230,2026-09-04,PowerShell / WinRT / .NET Lab,PowerShellから.NET Classを直接newして使う,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/230-dotnet-class
231,2026-09-04,PowerShell / WinRT / .NET Lab,Add-TypeでUser32.dllのWin32 APIを呼ぶ,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/231-add-type-win32
232,2026-09-04,PowerShell / WinRT / .NET Lab,PowerShellからCOM経由でExcelを操作する,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/232-com-excel
233,2026-09-04,PowerShell / WinRT / .NET Lab,CIMとWMIは何が違う？ 同じPC情報を取得して比べる,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/233-cim-vs-wmi
234,2026-09-04,PowerShell / WinRT / .NET Lab,FileSystemWatcherでフォルダー変更イベントを監視する,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/234-filesystemwatcher
235,2026-09-04,PowerShell / WinRT / .NET Lab,HttpClientで同期風処理と非同期処理を比べる,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/235-httpclient-async
236,2026-09-04,PowerShell / WinRT / .NET Lab,Visual StudioなしでWindows App SDK／WinUI 3の最小構成を理解する,PowerShell / .NET / WinRT / Windows App SDK,コピペ / 試して理解 / トレース,深掘り,15分,samples/236-windows-app-sdk
237,2026-09-04,Legacy Data & File Format Lab,VBAで固定長ファイルを1レコードずつ分解する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/237-fixed-width-vba
238,2026-09-04,Legacy Data & File Format Lab,PowerShellで固定長ファイルをSubstringで分解する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/238-fixed-width-powershell
239,2026-09-04,Legacy Data & File Format Lab,固定長ファイルをCSVへ変換する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/239-fixed-to-csv
240,2026-09-04,Legacy Data & File Format Lab,CSVから固定長ファイルを生成する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/240-csv-to-fixed
241,2026-09-04,Legacy Data & File Format Lab,Header・Detail・Trailerレコードを判定する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/241-record-types
242,2026-09-04,Legacy Data & File Format Lab,固定長レコードの桁数エラーを検出する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/242-record-length-check
243,2026-09-04,Legacy Data & File Format Lab,数値をゼロ埋めして固定桁へ整形する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/243-zero-padding
244,2026-09-04,Legacy Data & File Format Lab,文字列の左詰め・右詰めをVBAとPowerShellで比べる,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/244-padding-compare
245,2026-09-04,Legacy Data & File Format Lab,Shift_JISで文字数とバイト数が違うことを体験する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/245-shiftjis-byte-length
246,2026-09-04,Legacy Data & File Format Lab,全銀フォーマット風の教育用固定長データをVBAで解析する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/246-zengin-like-vba
247,2026-09-04,Legacy Data & File Format Lab,全銀フォーマット風の教育用固定長データをPowerShellで解析する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/247-zengin-like-powershell
248,2026-09-04,Legacy Data & File Format Lab,ダミー振込データのHeader・明細・Trailer合計を照合する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/248-zengin-total-check
249,2026-09-04,Legacy Data & File Format Lab,CRLFとLFの違いを同じテキストで確認する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/249-crlf-lf
250,2026-09-04,Legacy Data & File Format Lab,CSVのカンマ・ダブルクォート・改行を正しくEscapeする,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/250-csv-escaping
251,2026-09-04,Legacy Data & File Format Lab,TSVならカンマ入り文字列をどう扱えるか比べる,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/251-tsv
252,2026-09-04,Legacy Data & File Format Lab,INIファイルを読み書きして昔ながらの設定ファイルを理解する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/252-ini-file
253,2026-09-04,Legacy Data & File Format Lab,XMLをPowerShellで読み、階層構造をたどる,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/253-xml-powershell
254,2026-09-04,Legacy Data & File Format Lab,VBAでXML DOMを使って要素を読む,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/254-xml-vba
255,2026-09-04,Legacy Data & File Format Lab,COBOLのPIC風フィールド定義をExcel表から固定長へ変換する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/255-cobol-pic-like
256,2026-09-04,Legacy Data & File Format Lab,桁位置のある古いログをVBA／PowerShellで表形式へ変換する,VBA / PowerShell / Text / CSV / XML,コピペ / 試して理解 / トレース,深掘り,15分,samples/256-positional-log
257,2026-09-04,Binary / Hex / Encoding Lab,PowerShellだけでミニHex Dump Viewerを作る,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/257-hex-dump-powershell
258,2026-09-04,Binary / Hex / Encoding Lab,Excel VBAで簡易Hex Viewerを作る,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/258-hex-viewer-vba
259,2026-09-04,Binary / Hex / Encoding Lab,PNG・JPEG・PDF・ZIPのFile SignatureをHexで見る,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/259-file-signatures
260,2026-09-04,Binary / Hex / Encoding Lab,XLSX・DOCX・PPTXの先頭がZIP系であることを確認する,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/260-office-zip-signature
261,2026-09-04,Binary / Hex / Encoding Lab,UTF-8 BOMのEF BB BFを実際に見る,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/261-utf8-bom
262,2026-09-04,Binary / Hex / Encoding Lab,UTF-16 LEの文字列がバイト列でどう見えるか確認する,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/262-utf16le
263,2026-09-04,Binary / Hex / Encoding Lab,CRLFが0D 0Aとして保存されることを見る,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/263-crlf-hex
264,2026-09-04,Binary / Hex / Encoding Lab,Little EndianとBig Endianで整数の並びを比べる,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/264-endianness
265,2026-09-04,Binary / Hex / Encoding Lab,整数を4バイトへ変換してHex表示する,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/265-integer-bytes
266,2026-09-04,Binary / Hex / Encoding Lab,IEEE 754の浮動小数点をバイト列で眺める,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/266-ieee754
267,2026-09-04,Binary / Hex / Encoding Lab,大きなファイルをChunk単位で読む処理を作る,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/267-chunk-read
268,2026-09-04,Binary / Hex / Encoding Lab,Base64変換前後のバイト数を比べる,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/268-base64-size
269,2026-09-04,Binary / Hex / Encoding Lab,GUIDを文字列と16バイト表現で比べる,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/269-guid-bytes
270,2026-09-04,Binary / Hex / Encoding Lab,CRC32をPowerShellで実装してChecksumを理解する,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/270-crc32
271,2026-09-04,Binary / Hex / Encoding Lab,BMPヘッダーを読み取り画像サイズを取り出す,PowerShell / VBA / Binary / Encoding,コピペ / 試して理解 / トレース,深掘り,15分,samples/271-bmp-header
272,2026-09-04,Language Basics Lab,変数って何？ VBAのDimとPowerShellの$変数を比べる,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/272-language-variables
273,2026-09-04,Language Basics Lab,型って何？ String・Integer・Dateを比べる,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/273-language-types
274,2026-09-04,Language Basics Lab,文字列の結合・切り出しをVBAとPowerShellで比べる,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/274-language-strings
275,2026-09-04,Language Basics Lab,配列を作る・追加する・取り出すを比べる,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/275-language-arrays
276,2026-09-04,Language Basics Lab,Dictionary／Hashtableでキーと値を扱う,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/276-language-dictionary
277,2026-09-04,Language Basics Lab,If文で条件分岐を同じ問題で比べる,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/277-language-if
278,2026-09-04,Language Basics Lab,For／For Each／foreachの違いを比べる,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/278-language-loops
279,2026-09-04,Language Basics Lab,Functionを作って同じ計算を呼び出す,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/279-language-functions
280,2026-09-04,Language Basics Lab,引数って何？ ByVal／ByRefとparam()を比べる,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/280-language-arguments
281,2026-09-04,Language Basics Lab,戻り値はどう返る？ VBA FunctionとPowerShell Pipelineを比べる,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/281-language-return
282,2026-09-04,Language Basics Lab,値渡しと参照渡しで元の値が変わるか試す,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/282-language-byval-byref
283,2026-09-04,Language Basics Lab,ローカル変数とグローバル変数のScopeを比べる,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/283-language-scope
284,2026-09-04,Language Basics Lab,Null・Empty・Nothing・$nullの違いを体験する,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/284-language-null
285,2026-09-04,Language Basics Lab,On Errorとtry/catchで同じエラーを処理する,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/285-language-errors
286,2026-09-04,Language Basics Lab,ClassとObjectをVBAとPowerShellで最小実装する,VBA / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/286-language-classes
287,2026-09-04,Built-in Tools & Scripting Map,cmd.exeとBatchは今どんな場面で使う？,Windows標準ツール / Office / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/287-cmd-batch
288,2026-09-04,Built-in Tools & Scripting Map,Windows PowerShell 5.1は何ができる？,Windows標準ツール / Office / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/288-windows-powershell-51
289,2026-09-04,Built-in Tools & Scripting Map,PowerShell 7はWindows PowerShell 5.1と何が違う？,Windows標準ツール / Office / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/289-windows-powershell-51
290,2026-09-04,Built-in Tools & Scripting Map,Windows Script HostとVBScriptの現在位置を知る,Windows標準ツール / Office / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/290-wsh-vbscript
291,2026-09-04,Built-in Tools & Scripting Map,JScript／WSHで簡単なスクリプトを動かして歴史を知る,Windows標準ツール / Office / PowerShell,コピペ / 試して理解 / トレース,深掘り,15分,samples/291-wsh-jscript
